chamber,title,first_name,last_name,state,party,email,display
Senate,Senator,Dean,Smith,WA,LP,senator.smith@aph.gov.au,Senator Dean Smith
Senate,Senator,Marielle,Smith,SA,ALP,senator.marielle.smith@aph.gov.au,Senator Marielle Smith
Senate,Senator,Jordon,Steele-John,WA,AG,senator.steele-john@aph.gov.au,Senator Jordon Steele-John
Senate,Senator,Glenn,Sterle,WA,ALP,senator.sterle@aph.gov.au,Senator Glenn Sterle
Senate,Senator,Jana,Stewart,VIC,ALP,senator.stewart@aph.gov.au,Senator Jana Stewart
Senate,Senator,Lidia,Thorpe,VIC,IND,senator.thorpe@aph.gov.au,Senator Lidia Thorpe
Senate,Senator,Tammy,Tyrrell,TAS,IND,senator.walker@aph.gov.au,Senator Tammy Tyrrell
Senate,Senator,Jess,Walsh,VIC,ALP,senator.walsh@aph.gov.au,Senator Jess Walsh
Senate,Senator,Larissa,Waters,QLD,AG,senator.waters@aph.gov.au,Senator Larissa Waters
Senate,Senator,Murray,Watt,QLD,ALP,senator.watt@aph.gov.au,Senator Murray Watt
Senate,Senator,Peter,Whish-Wilson,TAS,AG,senator.whish-wilson@aph.gov.au,Senator Peter Whish-Wilson
Senate,Senator,Ellie,Whiteaker,WA,ALP,senator.whiteaker@aph.gov.au,Senator Ellie Whiteaker
Senate,Senator,Tyron,Whitten,WA,PHON,senator.whitten@aph.gov.au,Senator Tyron Whitten
Senate,Senator,Penny,Wong,SA,ALP,senator.wong@aph.gov.au,Senator Penny Wong
House,Mr,Basem,Abdo,,,Basem.Abdo.MP@aph.gov.au,Mr Basem Abdo
House,Ms,Mary,Aldred,,,Anne.Aly.MP@aph.gov.au,Ms Mary Aldred
House,Ms,Ash,Ambihaipahar,,,Ash.Ambihaipahar.MP@aph.gov.au,Ms Ash Ambihaipahar
House,Mr,David,Batt,,,David.Batt.MP@aph.gov.au,Mr David Batt
House,Ms,Angie,Bell,,,Angie.Bell.MP@aph.gov.au,Ms Angie Bell
House,Ms,Jodie,Belyea,,,Jodie.Belyea.MP@aph.gov.au,Ms Jodie Belyea
House,Ms,Carol,Berry,,,Carol.Berry.MP@aph.gov.au,Ms Carol Berry
House,Mr,Sam,Birrell,,,Sam.Birrell.MP@aph.gov.au,Mr Sam Birrell
House,Ms,Nicolette,Boele,,,Chris.Bowen.MP@aph.gov.au,Ms Nicolette Boele
House,Mr,Colin,Boyce,,,Colin.Boyce.MP@aph.gov.au,Mr Colin Boyce
House,Ms,Joanna,Briskey,,,Tony.Burke.MP@aph.gov.au,Ms Joanna Briskey
House,Mr,Matt,Burnell,,,Matt.Burnell.MP@aph.gov.au,Mr Matt Burnell
House,Mr,Josh,Burns,,,Mark.Butler.MP@aph.gov.au,Mr Josh Burns
House,Ms,Alison,Byrnes,,,Alison.Byrnes.MP@aph.gov.au,Ms Alison Byrnes
House,Mr,Cameron,Caldwell,,,Cameron.Caldwell.MP@aph.gov.au,Mr Cameron Caldwell
House,Ms,Julie-Ann,Campbell,,,Julie-Ann.Campbell.MP@aph.gov.au,Ms Julie-Ann Campbell
House,Mr,Jamie,Chaffey,,,Jim.Chalmers.MP@aph.gov.au,Mr Jamie Chaffey
House,Ms,Kate,Chaney,,,Andrew.Charlton.MP@aph.gov.au,Ms Kate Chaney
House,Ms,Lisa,Chesters,,,Jason.Clare.MP@aph.gov.au,Ms Lisa Chesters
House,Ms,Sharon,Claydon,,,Sharon.Claydon.MP@aph.gov.au,Ms Sharon Claydon
House,Ms,Claire,Clutterham,,,Claire.Clutterham.MP@aph.gov.au,Ms Claire Clutterham
House,Ms,Renee,Coffey,,,Renee.Coffey.MP@aph.gov.au,Ms Renee Coffey
House,Ms,Elizabeth,Coker,,,Julie.Collins.MP@aph.gov.au,Ms Elizabeth Coker
House,Ms,Emma,Comer,,,Emma.Comer.MP@aph.gov.au,Ms Emma Comer
House,Mr,Patrick,Conaghan,,,Pat.Conroy.MP@aph.gov.au,Mr Patrick Conaghan
House,Ms,Kara,Cook,,,Kara.Cook.MP@aph.gov.au,Ms Kara Cook
House,Ms,Patricia,Cook,,,Milton.Dick.MP@aph.gov.au,Ms Patricia Cook
House,Ms,Mary,Doyle,,,Justine.Elliot.MP@aph.gov.au,Ms Mary Doyle
House,Ms,Cassandra,Fernando,,,Cassandra.Fernando.MP@aph.gov.au,Ms Cassandra Fernando
House,Ms,Allison,France,,,Ali.France.MP@aph.gov.au,Ms Allison France
House,Dr,Michael,Freelander,,,Mike.Freelander.MP@aph.gov.au,Dr Michael Freelander
House,Mr,Thomas,French,,,Tom.French.MP@aph.gov.au,Mr Thomas French
House,Dr,Carina,Garland,,,Andrew.Gee.MP@aph.gov.au,Dr Carina Garland
House,Mr,Steven,Georganas,,,Patrick.Gorman.MP@aph.gov.au,Mr Steven Georganas
House,Mr,Luke,Gosling,,,Luke.Gosling.MP@aph.gov.au,Mr Luke Gosling
House,Mr,Matthew,Gregg,,,Matthew.Gregg.MP@aph.gov.au,Mr Matthew Gregg
House,Dr,Helen,Haines,,,Helen.Haines.MP@aph.gov.au,Dr Helen Haines
House,Mr,Garth,Hamilton,,,Kevin.Hogan.MP@aph.gov.au,Mr Garth Hamilton
House,Mr,Rowan,Holzberger,,,Ed.Husic.MP@aph.gov.au,Mr Rowan Holzberger
House,Ms,Madonna,Jarrett,,,Madonna.Jarrett.MP@aph.gov.au,Ms Madonna Jarrett
House,Ms,Marion,Jordan-Baird,,,Alice.Jordan-Baird.MP@aph.gov.au,Ms Marion Jordan-Baird
House,Mr,Simon,Kennedy,,,Madeleine.King.MP@aph.gov.au,Mr Simon Kennedy
House,Ms,Tania,Lawrence,,,Tania.Lawrence.MP@aph.gov.au,Ms Tania Lawrence
House,Mr,Jerome,Laxale,,,Jerome.Laxale.MP@aph.gov.au,Mr Jerome Laxale
House,Ms,Dai,Le,,,Dai.Le.MP@aph.gov.au,Ms Dai Le
House,Mr,Julian,Leeser,,,Sussan.Ley.MP@aph.gov.au,Mr Julian Leeser
House,Mr,Sam,Lim,,,Sam.Lim.MP@aph.gov.au,Mr Sam Lim
House,Ms,Zaneta,Mascarenhas,,,Michael.McCormack.MP@aph.gov.au,Ms Zaneta Mascarenhas
House,Mrs,Melissa,McIntosh,,,Melissa.McIntosh.MP@aph.gov.au,Mrs Melissa McIntosh
House,Ms,Zoe,McKenzie,,,Zoe.McKenzie.MP@aph.gov.au,Ms Zoe McKenzie
House,Ms,Louise,Miller-Frost,,,Louise.Miller-Frost.MP@aph.gov.au,Ms Louise Miller-Frost
House,Mr,Robert,Mitchell,,,Rob.Mitchell.MP@aph.gov.au,Mr Robert Mitchell
House,Mr,David,Moncrieff,,,Shayne.Neumann.MP@aph.gov.au,Mr David Moncrieff
House,Mr,Gabriel,Ng,,,Gabriel.Ng.MP@aph.gov.au,Mr Gabriel Ng
House,Mr,Edward,O'Brien,,,Ted.Obrien.MP@aph.gov.au,Mr Edward O'Brien
House,Mr,Llewellyn,O'Brien,,,Clare.ONeil.MP@aph.gov.au,Mr Llewellyn O'Brien
House,Mr,Antony,Pasin,,,Tony.Pasin.MP@aph.gov.au,Mr Antony Pasin
House,Ms,Alicia,Payne,,,Alicia.Payne.MP@aph.gov.au,Ms Alicia Payne
House,Ms,Alison,Penfold,,,Alison.Penfold.MP@aph.gov.au,Ms Alison Penfold
House,Mrs,Fiona,Phillips,,,Fiona.Phillips.MP@aph.gov.au,Mrs Fiona Phillips
House,Mr,Henry,Pike,,,Sam.Rae.MP@aph.gov.au,Mr Henry Pike
House,Mr,Leon,Rebello,,,Leon.Rebello.MP@aph.gov.au,Mr Leon Rebello
House,Dr,Gordon,Reid,,,Gordon.Reid.MP@aph.gov.au,Dr Gordon Reid
House,Mr,Daniel,Repacholi,,,Amanda.Rishworth.MP@aph.gov.au,Mr Daniel Repacholi
House,Ms,Tracey,Roberts,,,Michelle.Rowland.MP@aph.gov.au,Ms Tracey Roberts
House,Ms,Joanne,Ryan,,,Joanne.Ryan.MP@aph.gov.au,Ms Joanne Ryan
House,Dr,Monique,Ryan,,,Monique.Ryan.MP@aph.gov.au,Dr Monique Ryan
House,Dr,Sophie,Scamps,,,Sophie.Scamps.MP@aph.gov.au,Dr Sophie Scamps
House,Ms,Marion,Scrymgour,,,Marion.Scrymgour.MP@aph.gov.au,Ms Marion Scrymgour
House,Ms,Rebekha,Sharkie,,,Rebekha.Sharkie.MP@aph.gov.au,Ms Rebekha Sharkie
House,Ms,Sally,Sitou,,,Sally.Sitou.MP@aph.gov.au,Ms Sally Sitou
House,Mr,Benjamin,Small,,,Ben.Small.MP@aph.gov.au,Mr Benjamin Small
House,Mr,David,Smith,,,David.Smith.MP@aph.gov.au,Mr David Smith
House,Mr,Matthew,Smith,,,Matt.Smith.MP@aph.gov.au,Mr Matthew Smith
House,Mr,Xian-Zhi,Soon,,,Zhi.Soon.MP@aph.gov.au,Mr Xian-Zhi Soon
House,Ms,Allegra,Spender,,,Allegra.Spender.MP@aph.gov.au,Ms Allegra Spender
House,Ms,Anne,Stanley,,,Anne.Stanley.MP@aph.gov.au,Ms Anne Stanley
House,Ms,Zali,Steggall,,,Zali.Steggall.MP@aph.gov.au,Ms Zali Steggall
House,Ms,Meryl,Swanson,,,Angus.Taylor.MP@aph.gov.au,Ms Meryl Swanson
House,Ms,Jessica,Teesdale,,,Dan.Tehan.MP@aph.gov.au,Ms Jessica Teesdale
House,Ms,Susan,Templeman,,,Matt.Thistlethwaite.MP@aph.gov.au,Ms Susan Templeman
House,Mr,Phillip,Thompson,,,Phillip.Thompson.MP@aph.gov.au,Mr Phillip Thompson
House,Ms,Anne,Urquhart,,,Anne.Urquhart.MP@aph.gov.au,Ms Anne Urquhart
House,Mr,Thomas,Venning,,,Tom.Venning.MP@aph.gov.au,Mr Thomas Venning
House,Mr,Aaron,Violi,,,Aaron.Violi.MP@aph.gov.au,Mr Aaron Violi
House,Mr,Andrew,Wallace,,,Andrew.Wallace.MP@aph.gov.au,Mr Andrew Wallace
House,Ms,Elizabeth,Watson-Brown,,,Tim.Watts.MP@aph.gov.au,Ms Elizabeth Watson-Brown
House,Dr,Anne,Webster,,,Anika.Wells.MP@aph.gov.au,Dr Anne Webster
House,Mr,Andrew,Wilkie,,,Andrew.Wilkie.MP@aph.gov.au,Mr Andrew Wilkie
House,Mr,Andrew,Willcox,,,Josh.Wilson.MP@aph.gov.au,Mr Andrew Willcox
House,Mr,Richard,Wilson,,,Tim.Wilson.MP@aph.gov.au,Mr Richard Wilson
House,Ms,Sarah,Witty,,,Jason.Wood.MP@aph.gov.au,Ms Sarah Witty
House,Mr,Terry,Young,,,Terry.Young.MP@aph.gov.au,Mr Terry Young
House,Mr,Antonio,Zappia,,,Tony.Zappia.MP@aph.gov.au,Mr Antonio Zappia
